Date,City,Category,Product,Units Sold,Revenue
2026-02-01,Jakarta,Coffee,Cafe Latte,22,79.16
2026-02-01,Bandung,Pastry,Butter Croissant,20,56.87
2026-02-01,Denpasar,Coffee,Cafe Latte,12,45.64
2026-02-01,Bandung,Tea,Matcha Latte,12,48.13
2026-02-02,Yogyakarta,Tea,Jasmine Tea,12,24.93
2026-02-02,Jakarta,Pastry,Butter Croissant,21,63.4
2026-02-03,Denpasar,Coffee,Cafe Latte,23,90.09
2026-02-03,Surabaya,Coffee,Cafe Latte,3,11.05
2026-02-04,Yogyakarta,Coffee,Espresso,15,39.33
2026-02-04,Denpasar,Tea,Matcha Latte,6,22.18
2026-02-04,Jakarta,Pastry,Banana Bread,17,44.67
2026-02-05,Denpasar,Coffee,Cold Brew,17,67.33
2026-02-05,Jakarta,Tea,Jasmine Tea,14,28.59
2026-02-06,Denpasar,Pastry,Butter Croissant,8,22.13
2026-02-06,Bandung,Coffee,Cold Brew,4,17.39
2026-02-06,Jakarta,Tea,Matcha Latte,3,12.57
2026-02-07,Surabaya,Tea,Matcha Latte,4,16.84
2026-02-07,Jakarta,Coffee,Espresso,6,15.37
2026-02-07,Jakarta,Merchandise,Tumbler,35,417.39
2026-02-08,Denpasar,Coffee,Espresso,16,37.71
2026-02-08,Surabaya,Pastry,Banana Bread,22,60.62
2026-02-08,Bandung,Merchandise,Tumbler,24,298.83
2026-02-09,Yogyakarta,Merchandise,Tumbler,10,124.05
2026-02-09,Jakarta,Coffee,Espresso,13,31.63
2026-02-10,Jakarta,Coffee,Cafe Latte,7,26.99
2026-02-10,Surabaya,Merchandise,Tumbler,21,258.94
2026-02-10,Denpasar,Coffee,Cold Brew,15,67.94
2026-02-10,Denpasar,Coffee,Espresso,10,26.72
2026-02-11,Bandung,Coffee,Cold Brew,3,12.03
2026-02-11,Surabaya,Tea,Matcha Latte,5,21.58
2026-02-12,Jakarta,Coffee,Cold Brew,10,43.69
2026-02-12,Yogyakarta,Coffee,Espresso,3,7.91
2026-02-13,Bandung,Merchandise,Tumbler,23,266.26
2026-02-13,Surabaya,Pastry,Butter Croissant,18,51.34
2026-02-13,Bandung,Coffee,Cafe Latte,3,10.91
2026-02-13,Yogyakarta,Merchandise,Tumbler,21,237.29
2026-02-14,Jakarta,Coffee,Cold Brew,23,97.47
2026-02-14,Denpasar,Coffee,Espresso,24,58.96
2026-02-14,Yogyakarta,Tea,Matcha Latte,17,73.05
2026-02-14,Surabaya,Tea,Jasmine Tea,36,83.13
2026-02-15,Jakarta,Coffee,Espresso,11,29.44
2026-02-15,Denpasar,Tea,Matcha Latte,24,94.46
2026-02-16,Yogyakarta,Merchandise,Tumbler,24,272.91
2026-02-16,Bandung,Tea,Jasmine Tea,18,42.4
2026-02-17,Denpasar,Coffee,Cold Brew,10,42.17
2026-02-17,Yogyakarta,Coffee,Cafe Latte,24,93.6
2026-02-17,Jakarta,Coffee,Cold Brew,8,35.39
2026-02-17,Denpasar,Coffee,Espresso,13,34.09
2026-02-18,Denpasar,Merchandise,Tumbler,25,298.4
2026-02-18,Yogyakarta,Merchandise,Tumbler,6,73.01
2026-02-18,Bandung,Pastry,Butter Croissant,15,46.5
2026-02-18,Jakarta,Pastry,Banana Bread,12,33.71
2026-02-19,Bandung,Tea,Jasmine Tea,22,49.03
2026-02-19,Jakarta,Merchandise,Tumbler,4,44.59
2026-02-19,Bandung,Coffee,Cold Brew,6,24.36
2026-02-19,Bandung,Merchandise,Tumbler,14,164.44
2026-02-20,Denpasar,Pastry,Butter Croissant,26,76.2
2026-02-20,Yogyakarta,Coffee,Cold Brew,7,31.46
2026-02-20,Surabaya,Tea,Jasmine Tea,12,28.33
2026-02-21,Surabaya,Merchandise,Tumbler,15,192.08
2026-02-21,Yogyakarta,Merchandise,Tumbler,5,58.06
2026-02-22,Jakarta,Merchandise,Tumbler,19,234.43
2026-02-22,Denpasar,Merchandise,Tumbler,14,179.84
2026-02-22,Denpasar,Coffee,Espresso,15,38.44
2026-02-23,Denpasar,Tea,Jasmine Tea,12,25.74
2026-02-23,Bandung,Tea,Jasmine Tea,18,40.27
2026-02-24,Denpasar,Coffee,Espresso,6,15.82
2026-02-24,Bandung,Merchandise,Tumbler,12,132.5
